model,params,sample_acc,found_acc,mention_inst_acc,canonical_hist_acc,full_inst_acc,found_P,found_R,found_F1,mention_P,mention_R,mention_F1,canonical_P,canonical_R,canonical_F1,full_P,full_R,full_F1,speed_avg_latency_s,speed_median_latency_s,speed_p95_latency_s,speed_p99_latency_s,speed_tokens_per_sec,acc_assistant,acc_user,n_records,n_correct,n_gen_errors_accuracy,err_false_neg,err_false_pos,err_mention,err_canonical,err_inst_count,err_parse,concurrency
Qwen/Qwen3.5-2B,2B,0.868,0.9629,0.8748,0.802,0.8313,0.9611,0.9719,0.9665,0.9186,0.8748,0.8962,0.7729,0.802,0.7871,0.873,0.8313,0.8517,0.8082,0.831,1.6396,2.2915,188.25,0.8809,0.8537,1295,1124,1,19,28,42,37,44,1,16
Qwen/Qwen3.5-4B,4B,0.9537,0.9761,0.9438,0.9362,0.9361,0.9885,0.9677,0.978,0.9711,0.9438,0.9572,1.0124,0.9362,0.9728,0.9632,0.9361,0.9495,1.5212,1.6767,3.4803,4.6049,89.57,0.9574,0.9496,1295,1235,0,23,8,16,7,6,0,16
Qwen/Qwen3.5-9B,9B,0.9629,0.9799,0.9514,0.9558,0.9497,0.9914,0.9719,0.9816,0.9738,0.9514,0.9625,1.0318,0.9558,0.9924,0.9721,0.9497,0.9608,4.6238,5.0812,10.5958,14.0406,30.75,0.9603,0.9659,1295,1247,0,20,6,16,2,4,0,16
mistralai/Ministral-3-8B-Instruct-2512,8B,0.9514,0.9776,0.9532,0.9689,0.9514,0.9763,0.9831,0.9797,0.9532,0.9532,0.9532,1.0332,0.9689,1.0,0.9514,0.9514,0.9514,1.8157,1.9371,3.8978,5.039,81.08,0.9485,0.9545,1295,1232,0,12,17,26,2,6,0,16
mistralai/Ministral-3-3B-Instruct-2512,3B,0.9097,0.9653,0.8825,0.8642,0.8782,0.9955,0.941,0.9675,0.93,0.8825,0.9056,0.9103,0.8642,0.8866,0.9255,0.8782,0.9012,0.8521,0.8925,1.9797,2.5566,157.73,0.9132,0.9057,1295,1178,1,42,3,61,5,6,1,16
meta-llama/Llama-3.1-8B-Instruct,8B,0.8919,0.9429,0.9421,0.8822,0.9182,0.9253,0.9747,0.9494,0.8963,0.9421,0.9186,0.8998,0.8822,0.8909,0.8736,0.9182,0.8953,2.2852,2.3896,4.9158,6.4635,57.3,0.8926,0.8911,1295,1155,1,17,56,37,22,7,1,16
meta-llama/Llama-3.2-3B-Instruct,3B,0.6911,0.817,0.7794,0.7136,0.7368,0.7771,0.9354,0.8489,0.7367,0.7794,0.7575,0.2361,0.7136,0.3548,0.6965,0.7368,0.7161,0.9954,0.8872,2.3344,2.95,123.25,0.7265,0.652,1295,895,35,13,191,59,38,66,35,16
google/gemma-3-12b-it,12B,0.8888,0.9189,0.9591,0.9574,0.9557,0.8752,0.9944,0.931,0.8749,0.9591,0.9151,0.9112,0.9574,0.9338,0.8718,0.9557,0.9118,5.1748,5.3901,10.3714,13.8398,34.65,0.875,0.9041,1295,1151,3,3,101,32,3,4,3,16
google/gemma-3-4b-it,4B,0.7668,0.8517,0.902,0.8478,0.8807,0.7876,1.0,0.8812,0.8005,0.902,0.8482,0.8464,0.8478,0.8471,0.7816,0.8807,0.8282,2.0374,2.0356,3.9133,5.267,89.63,0.7721,0.761,1295,993,0,0,192,35,18,57,0,16
